100 100
57 80 1
60 11 2
3 32 1
47 67 2
3 75 1
20 49 2
60 3 1
27 68 2
12 76 1
52 37 2
74 96 1
23 81 2
0 79 1
10 87 2
4 11 1
39 24 2
88 68 1
74 73 2
45 68 1
59 67 2
61 84 1
76 62 2
69 0 1
80 28 2
34 84 1
32 44 2
14 87 1
23 12 2
65 7 1
99 42 2
34 56 1
54 54 2
8 59 1
71 52 2
61 62 1
61 42 2
98 69 1
96 45 2
47 37 1
55 63 2
26 82 1
1 30 2
78 57 1
16 89 2
23 97 1
28 55 2
83 72 1
85 79 2
75 63 1
27 16 2
77 9 1
69 96 2
39 78 1
64 72 2
8 14 1
29 31 2
22 76 1
39 7 2
11 29 1
50 9 2
58 89 1
16 77 2
69 95 1
23 7 2
78 7 1
13 38 2
55 34 1
78 6 2
69 90 1
10 41 2
85 50 1
67 71 2
68 89 1
65 35 2
14 58 1
63 14 2
24 99 1
48 31 2
73 31 1
38 96 2
49 39 1
31 92 2
88 1 1
39 67 2
8 19 1
1 74 2
71 93 1
52 53 2
43 75 1
84 27 2
54 49 1
63 43 2
31 48 1
84 18 2
98 77 1
16 21 2
7 50 1
85 60 2
19 39 1
44 55 2
7 48 1
73 39 2
2 55 1
36 52 2
21 52 1
72 72 2
87 94 1
37 11 2
52 95 1
97 56 2
60 76 1
18 56 2
21 28 1
73 79 2
87 98 1
58 26 2
68 84 1
75 92 2
55 74 1
15 46 2
40 72 1
76 92 2
24 44 1
84 16 2
55 16 1
30 35 2
2 81 1
75 91 2
1 35 1
3 98 2
91 25 1
56 30 2
95 42 1
42 53 2
69 97 1
33 43 2
13 5 1
50 16 2
4 95 1
74 71 2
71 92 1
86 2 2
26 61 1
1 65 2
18 3 1
35 77 2
89 70 1
98 55 2
63 51 1
98 97 2
0 91 1
7 29 2
51 53 1
4 85 2
5 8 1
30 57 2
70 32 1
38 69 2
60 17 1
30 28 2
39 64 1
49 95 2
14 18 1
19 95 2
15 88 1
75 82 2
96 80 1
80 42 2
18 89 1
87 77 2
77 52 1
34 5 2
73 20 1
65 47 2
43 33 1
81 29 2
95 99 1
40 94 2
16 34 1
59 45 2
84 31 1
62 88 2
92 1 1
96 71 2
12 22 1
90 63 2
91 64 1
64 1 2
89 76 1
12 6 2
42 48 1
49 30 2
72 14 1
30 40 2
38 54 1
97 16 2
44 47 1
82 93 2
43 95 1
62 83 2
79 79 1
30 49 2
47 18 1
71 62 2
77 54 1
83 54 2
17 38 1
28 44 2
14 17 1
1 78 2
30 79 1
75 93 2
87 67 1
65 12 2
77 63 1
61 38 2
46 35 1
86 88 2
48 69 1
3 92 2
22 54 1
20 21 2
95 70 1
30 72 2
25 41 1
28 7 2
66 36 1
66 53 2
82 95 1
19 50 2
80 7 1
20 28 2
89 36 1
98 88 2
70 90 1
8 82 2
9 49 1
18 39 2
88 39 1
25 89 2
30 97 1
87 92 2
41 9 1
34 93 2
75 20 1
3 12 2
31 2 1
42 34 2
20 40 1
6 41 2
97 45 1
83 18 2
60 26 1
68 96 2
79 66 1
24 60 2
44 7 1
61 15 2
69 60 1
70 43 2
52 18 1
85 95 2
8 60 1
28 60 2
93 31 1
33 20 2
40 54 1
58 51 2
45 99 1
23 74 2
47 15 1
24 33 2
71 20 1
38 94 2
10 32 1
14 3 2
68 93 1
46 97 2
76 65 1
5 53 2
56 24 1
89 93 2
31 54 1
83 16 2
93 16 1
63 72 2
46 62 1
76 24 2
34 10 1
67 23 2
51 80 1
60 54 2
39 49 1
78 34 2
37 93 1
5 69 2
25 72 1
32 77 2
24 92 1
80 53 2
75 65 1
0 55 2
73 90 1
35 61 2
5 72 1
31 39 2
95 71 1
91 99 2
18 88 1
10 70 2
42 22 1
89 57 2
43 98 1
15 73 2
92 16 1
47 2 2
45 34 1
65 45 2
96 79 1
20 88 2
30 34 1
47 31 2
25 53 1
91 80 2
7 64 1
78 14 2
75 34 1
84 12 2
82 98 1
29 82 2
65 36 1
85 8 2
83 57 1
90 52 2
65 87 1
27 57 2
94 13 1
6 46 2
34 23 1
67 29 2
87 9 1
88 43 2
93 55 1
2 85 2
55 91 1
63 21 2
87 34 1
64 13 2
97 23 1
12 71 2
0 76 1
70 0 2
4 31 1
0 49 2
55 66 1
92 37 2
77 87 1
25 19 2
33 95 1
1 27 2
72 93 1
21 44 2
12 55 1
81 80 2
60 35 1
33 49 2
79 28 1
87 28 2
69 44 1
71 88 2
88 25 1
58 82 2
55 84 1
63 55 2
63 85 1
85 9 2
39 45 1
85 49 2
98 25 1
55 12 2
35 65 1
52 92 2
17 7 1
75 23 2
65 56 1
39 41 2
95 94 1
52 63 2
68 22 1
56 28 2
55 15 1
68 14 2
19 6 1
11 22 2
81 74 1
1 22 2
33 97 1
29 16 2
32 52 1
54 19 2
28 79 1
0 57 2
28 3 1
16 26 2
48 18 1
94 78 2
51 93 1
92 7 2
68 37 1
92 64 2
88 21 1
49 24 2
32 69 1
98 95 2
9 42 1
64 57 2
5 56 1
85 56 2
30 75 1
49 84 2
89 48 1
47 82 2
52 42 1
56 94 2
84 1 1
72 44 2
34 83 1
13 42 2
6 74 1
46 24 2
59 96 1
76 93 2
9 79 1
87 52 2
34 20 1
58 67 2
69 20 1
3 45 2
66 70 1
43 81 2
77 15 1
48 77 2
13 97 1
93 21 2
8 41 1
60 39 2
97 78 1
19 0 2
90 58 1
93 43 2
97 28 1
46 78 2
80 21 1
45 23 2
53 70 1
41 32 2
22 0 1
53 31 2
92 98 1
87 51 2
65 42 1
38 24 2
6 52 1
91 73 2
12 97 1
73 5 2
62 28 1
34 14 2
13 94 1
2 59 2
33 66 1
27 82 2
20 8 1
55 35 2
32 14 1
24 27 2
19 26 1
31 80 2
33 90 1
49 50 2
19 28 1
16 79 2
84 47 1
31 50 2
32 7 1
85 28 2
75 28 1
60 58 2
76 27 1
99 86 2
58 35 1
56 45 2
85 87 1
4 51 2
94 15 1
27 32 2
50 32 1
42 10 2
27 80 1
49 69 2
88 48 1
61 97 2
10 43 1
23 66 2
20 54 1
62 84 2
3 56 1
99 22 2
98 15 1
21 51 2
18 26 1
4 20 2
99 80 1
50 48 2
36 71 1
36 12 2
22 93 1
77 1 2
39 76 1
60 52 2
23 0 1
38 25 2
98 48 1
88 31 2
52 28 1
84 94 2
25 4 1
5 35 2
1 1 1
44 81 2
95 36 1
22 85 2
42 37 1
85 20 2
6 91 1
93 23 2
58 65 1
75 46 2
86 66 1
0 94 2
3 37 1
44 2 2
37 72 1
52 67 2
10 97 1
87 44 2
64 62 1
9 67 2
34 44 1
36 45 2
19 76 1
63 60 2
15 2 1
76 86 2
93 67 1
16 68 2
32 8 1
46 53 2
16 72 1
15 36 2
9 70 1
73 27 2
6 92 1
78 24 2
56 55 1
82 17 2
91 66 1
97 97 2
57 26 1
43 63 2
98 11 1
8 4 2
33 26 1
49 93 2
37 65 1
19 45 2
58 13 1
84 29 2
75 3 1
52 44 2
71 83 1
61 44 2
86 9 1
75 32 2
54 53 1
86 79 2
1 73 1
14 43 2
98 80 1
18 0 2
80 27 1
56 46 2
68 94 1
44 84 2
30 78 1
94 64 2
91 71 1
80 72 2
41 22 1
96 1 2
30 52 1
72 78 2
1 31 1
72 10 2
55 39 1
8 81 2
34 46 1
43 85 2
66 38 1
54 30 2
75 88 1
88 64 2
49 7 1
41 80 2
70 53 1
65 22 2
6 54 1
5 73 2
47 16 1
43 54 2
51 40 1
17 83 2
11 31 1
51 16 2
5 45 1
78 72 2
47 70 1
41 90 2
55 20 1
36 19 2
68 65 1
59 50 2
15 43 1
70 24 2
89 68 1
49 56 2
2 93 1
61 1 2
19 55 1
43 48 2
47 42 1
74 58 2
13 49 1
13 26 2
57 72 1
33 25 2
60 65 1
96 59 2
86 11 1
60 7 2
55 1 1
37 66 2
33 6 1
60 72 2
62 69 1
95 87 2
50 8 1
65 23 2
22 60 1
9 59 2
51 70 1
96 38 2
76 71 1
74 66 2
68 72 1
0 83 2
48 85 1
85 23 2
64 12 1
43 43 2
86 42 1
13 27 2
0 47 1
32 17 2
56 2 1
30 8 2
80 88 1
15 18 2
94 98 1
30 44 2
64 89 1
22 16 2
26 6 1
98 9 2
31 70 1
25 46 2
94 67 1
36 79 2
8 84 1
84 64 2
93 18 1
13 65 2
44 23 1
53 34 2
46 72 1
53 15 2
43 53 1
32 66 2
63 33 1
78 71 2
31 35 1
15 87 2
77 55 1
12 73 2
45 92 1
44 33 2
49 62 1
62 4 2
60 40 1
17 64 2
45 13 1
73 73 2
87 1 1
13 18 2
62 44 1
57 29 2
10 2 1
96 95 2
55 65 1
57 91 2
52 36 1
58 90 2
52 14 1
31 89 2
90 23 1
21 11 2
95 24 1
54 7 2
44 92 1
66 42 2
29 83 1
28 58 2
2 57 1
41 51 2
85 73 1
80 97 2
13 41 1
34 22 2
57 31 1
23 61 2
98 10 1
46 70 2
64 38 1
36 46 2
13 77 1
95 88 2
85 66 1
29 67 2
55 36 1
72 59 2
96 22 1
52 35 2
75 36 1
36 77 2
89 81 1
65 79 2
12 23 1
50 26 2
80 14 1
36 1 2
3 87 1
90 68 2
40 7 1
2 34 2
67 43 1
49 60 2
39 55 1
84 90 2
12 74 1
34 65 2
41 54 1
13 43 2
98 12 1
89 37 2
79 71 1
17 65 2
20 62 1
42 95 2
0 33 1
10 19 2
13 67 1
10 59 2
8 15 1
35 39 2
91 76 1
48 92 2
76 47 1
9 58 2
59 52 1
96 14 2
5 98 1
64 29 2
61 63 1
10 53 2
26 31 1
91 9 2
45 73 1
15 11 2
41 43 1
33 46 2
50 76 1
92 50 2
61 27 1
83 14 2
28 19 1
27 92 2
78 9 1
71 34 2
1 36 1
82 44 2
72 75 1
39 58 2
37 61 1
72 42 2
12 60 1
3 61 2
99 66 1
93 56 2
57 83 1
15 29 2
36 89 1
44 31 2
52 24 1
73 82 2
85 52 1
21 30 2
10 22 1
57 44 2
3 44 1
95 18 2
74 69 1
55 24 2
1 55 1
15 55 2
98 85 1
33 99 2
13 91 1
10 46 2
5 16 1
47 65 2
22 80 1
51 97 2
0 24 1
20 5 2
29 97 1
6 85 2
63 49 1
7 3 2
97 77 1
57 28 2
39 97 1
55 42 2
80 95 1
18 4 2
70 31 1
4 83 2
92 93 1
95 26 2
26 67 1
98 81 2
87 87 1
21 5 2
80 99 1
14 35 2
20 42 1
0 20 2
51 87 1
52 66 2
73 9 1
56 63 2
11 21 1
17 27 2
41 5 1
12 16 2
35 27 1
87 70 2
40 63 1
14 76 2
34 4 1
84 23 2
1 58 1
35 87 2
92 34 1
87 30 2
23 27 1
31 33 2
81 79 1
45 79 2
54 21 1
68 33 2
29 42 1
3 64 2
37 34 1
16 96 2
3 58 1
36 4 2
28 54 1
56 66 2
16 15 1
32 40 2
67 38 1
5 18 2
76 31 1
44 90 2
18 50 1
56 86 2
9 39 1
57 34 2
84 70 1
87 43 2
93 36 1
71 84 2
33 4 1
84 73 2
54 50 1
86 74 2
57 4 1
